device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944801099772159,144,143.418,132
944801102253856,144,173.37,132
944801104430569,144,130.928,132
944801106780110,144,117.201,132
944801109175698,144,180.189,132
944801111392351,144,131.068,132
944801113570656,144,132.638,132
944801115789783,144,126.13,132
944801118186734,144,180.795,132
944801120396736,144,134.169,132
944801122556275,144,131.622,132
944801124802581,144,127.478,132
944801127190778,144,179.485,132
944801129454811,144,128,132
944801131814246,144,120.257,132
944801134199500,144,180.335,132
944801136410194,144,127.462,132
944801138582001,144,137.254,132
944801140821567,144,131.442,132
944801143212719,144,181.816,132
944801145423833,144,133.403,132
944801147591413,144,131.988,132
944801149845591,144,126.741,132
944801152229062,144,182.582,132
944801154448939,144,130.553,132
944801156617181,144,132.696,132
944801158851470,144,129.951,132
944801161242841,144,182.804,132
944801163454196,144,130.012,132
944801165613815,144,131.957,132
944801167862384,144,128.697,132
944801170251504,144,184.359,132
944801172464882,144,132.776,132
944801174643408,144,133.818,132
944801176885158,144,128.863,132
944801179265324,144,188.53,139
944801181481155,144,132.042,139
944801183651649,144,128.639,139
944801185894711,144,126.578,139
944801188285994,144,177.359,138
944801190498580,144,129.449,138
944801192667142,144,133.297,138
944801194910995,144,128.197,138
944801197298522,144,176.549,138
944801199517287,144,130.329,138
944801201681231,144,132.641,138
944801203921580,144,128.616,138
944801206310088,144,187.936,137
944801208522725,144,132.094,137
944801210685076,144,131.281,137
944801212940867,144,128.021,137
944801215323286,144,181.198,137
944801217537315,144,133.13,137
944801219692577,144,138.081,137
944801221942620,144,126.457,137
944801224356154,144,183.629,136
944801226549362,145,159.362,169
944801228710232,145,167.446,208
944801230964941,146,158.163,245
944801233353901,147,219.513,300
944801235569731,148,161.166,336
944801237735069,148,160.756,371
944801239980955,149,154.527,406
944801242365135,149,220.883,456
944801244577272,150,156.905,489
944801246977827,150,149.497,521
944801249376141,151,223.186,560
944801251590831,152,159.799,590
944801253757970,152,167.724,620
944801256009475,153,154.746,650
944801258388748,153,220.323,693
944801260601265,154,156.795,721
944801262787352,154,161.357,749
944801265029803,155,161.941,776
944801267401937,155,221.328,815
944801269618920,156,159.64,841
944801271800841,156,158.636,866
944801274045005,156,154.141,890
944801276420114,157,219.988,926
944801278629796,157,157.315,950
944801280781942,158,162.111,973
944801283049431,158,159.715,995
944801285428215,158,205.607,1001
944801287640901,158,131.538,983
944801289798817,158,138.585,966
944801292066616,157,122.438,950
944801294436957,157,185.271,925
944801296665658,157,134.924,910
944801298830884,157,133.813,894
944801301085393,156,127.537,879
944801303447992,156,186.299,857
944801305674169,156,128.933,842
944801307843121,156,133.428,828
944801310095317,155,128.598,814
944801312467331,155,181.741,794
944801314695080,155,124.289,781
944801316913545,154,131.878,768
944801319112781,155,156.852,777
944801321589711,169,765.306,813
944801323801517,177,511.44,830
944801326109014,186,535.895,848
944801328589710,200,824.605,877
944801330808926,210,633.478,896
944801333116644,220,609.005,915
944801335589637,235,867.691,943
944801337805789,245,667.113,961
944801340143242,254,619.036,979
944801342609906,269,908.815,1006
