device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944801690048924,366,186.441,1030
944801692662887,362,145.809,1013
944801695091594,357,230.372,986
944801697250712,354,180.344,969
944801699439053,350,174.461,953
944801701683727,347,172.51,936
944801704072986,342,234.137,912
944801706253515,339,175.262,897
944801708428907,337,179.818,882
944801710687883,334,171.268,867
944801713086976,330,242.916,845
944801715262358,327,174.46,831
944801717466131,324,171.296,817
944801719696083,321,173.257,803
944801722103610,317,234.68,783
944801724328065,315,173.08,770
944801726705616,312,162.212,758
944801729111079,309,239.48,739
944801731323826,307,171.7,727
944801733731453,304,161.8,715
944801736139259,300,195.046,698
944801738346508,297,127.814,686
944801740743479,294,129.346,683
944801743145667,290,187.815,666
944801745371814,287,133.684,656
944801747755245,284,129.458,645
944801750151064,280,184.502,630
944801752377771,277,130.263,620
944801754766760,275,120.364,610
944801757168056,271,185.145,596
944801759380253,269,135.011,587
944801761569215,266,132.334,578
944801763778136,264,134.914,569
944801766175377,260,189.383,556
944801768389787,258,136.707,548
944801770577877,256,131.765,539
944801772793237,254,133.285,531
944801775184360,251,184.659,519
944801777409355,249,133.568,512
944801779596003,246,131.292,504
944801781803903,244,132.516,497
944801784192420,242,201.912,500
944801786421903,241,162.451,532
944801788598916,239,162.199,563
944801790822299,238,161.452,593
944801793197898,237,228.901,638
944801795412859,235,159.655,667
944801797596452,234,169.284,696
944801799834807,233,159.018,724
944801802223074,232,225.317,765
944801804467918,231,162.764,792
944801806840493,230,154.311,809
944801809228291,228,225.547,847
944801811432675,227,159.033,872
944801813619404,226,163.409,897
944801815862686,225,163.566,921
944801818241329,224,226.987,955
944801820456530,222,133.094,938
944801822641836,221,137.1,922
944801824871097,219,135.09,906
944801827262760,217,188.27,883
944801829475306,216,132.39,869
944801831655976,215,139.622,854
944801833887371,213,130.264,839
944801836266174,211,186.722,818
944801838478861,210,132.568,805
944801840656996,209,133.99,791
944801842900389,208,131.047,778
944801845284280,206,184.199,759
944801847506081,205,133.278,747
944801849701071,204,139.966,739
944801851911725,205,258.037,758
944801854401714,223,954.829,783
944801856630294,230,524.699,797
944801858917792,239,596.804,812
944801861396283,252,826.16,836
944801863631254,261,638.788,851
944801865928176,270,622.778,867
944801868419628,284,876.891,890
944801870616179,292,662.569,905
944801872947573,301,638.252,920
944801875418433,314,896.194,941
944801877646374,323,673.96,956
944801879950506,331,649.761,970
944801882396639,343,913.453,990
944801884661243,352,671.318,1003
944801886958776,360,648.424,1016
944801889437618,371,902.714,1035
944801891677646,379,684.441,1048
944801893970521,386,638.478,1060
944801896441953,397,917.654,1078
944801898669512,404,677.461,1089
944801900983770,411,643.712,1101
944801903474180,421,915.809,1117
944801905680997,427,677.617,1128
944801907991509,434,647.292,1139
944801910473086,443,909.963,1154
944801912694446,449,676.652,1164
944801915015884,455,651.258,1174
944801917480666,464,913.27,1188
944801919714825,470,669.851,1197
944801922030955,475,647.347,1207
944801924490928,483,923.601,1220
944801926675504,489,680.614,1229
944801929048349,494,634.015,1238
944801931470527,501,932.669,1250
944801933723955,506,670.628,1259
944801936049379,511,648.865,1267
944801938518236,518,914.242,1278
944801940752054,523,674.344,1286
944801943059382,527,637.118,1293
944801945477444,534,947.804,1304
944801947756870,538,647.346,1311
944801950073060,543,669.749,1318
944801952501988,549,920.78,1328
944801954760623,553,657.403,1334
944801957081781,557,653.235,1341
944801959545320,562,912.725,1351
944801961774852,566,685.447,1357
944801964091144,570,643.087,1363
944801966561924,575,911.258,1371
944801968791987,579,676.591,1377
944801971100436,582,645.053,1383
944801973570986,587,926.534,1391
944801975872124,590,641.817,1396
944801978122727,593,663.523,1401
944801980583011,598,923.423,1409
944801982797301,601,686.371,1414
944801985120592,604,650.633,1419
944801987563500,608,915.836,1425
944801989811279,611,657.243,1430
944801992133790,614,658.895,1435
944801994606773,618,905.49,1441
944801996853932,621,674.269,1446
944801999147448,623,653.903,1450
944802001628023,627,922.327,1456
944802003858297,630,668.027,1460
944802006160437,632,645.08,1464
944802008623745,635,919.134,1470
944802010863783,638,671.174,1473
944802013164550,640,667.077,1477
944802015634599,643,905.036,1482
944802017842139,645,685.677,1486
944802020175846,648,644.267,1489
944802022649069,650,904.839,1494
944802024880524,652,672.809,1497
944802027185939,654,652.678,1500
944802029653994,657,916.169,1505
944802031902545,659,675.634,1508
944802034193458,661,655.801,1511
944802036674364,664,911.294,1515
944802038910515,665,662.672,1517
944802041199676,667,659.652,1520
944802043678117,669,904.151,1524
944802045912796,671,667.641,1527
944802048208626,672,663.253,1530
944802050638456,675,932.364,1533
944802052931373,676,650.037,1536
944802055220794,678,659.189,1539
944802057696331,680,907.028,1542
944802059915647,681,680.267,1545
944802062255022,683,664.387,1547
944802064678763,685,909.69,1550
944802066931369,686,664.76,1552
944802069238687,688,669.347,1555
944802071710118,689,899.757,1557
944802073972388,690,662.765,1560
944802076251493,692,672.189,1562
944802078728813,693,913.398,1564
944802080974039,695,667.313,1566
944802083265813,696,650.394,1567
944802085740009,697,911.62,1570
944802087991694,698,672.336,1571
944802090273223,699,660.276,1573
944802092747347,701,900.756,1575
944802094987285,702,686.135,1577
944802097284718,703,650.57,1578
944802099766674,704,906.261,1580
944802101975045,705,676.509,1582
944802104295071,706,664.923,1583
944802106766082,707,896.294,1586
944802109009504,708,675.085,1587
944802111302721,709,672.769,1589
944802113785729,710,889.517,1590
944802115982903,711,687.38,1592
944802118319104,712,655.846,1593
944802120732478,713,923.354,1595
944802122928591,714,698.664,1596
944802125116862,714,679.885,1597
944802127330449,715,673.823,1598
944802129804073,716,906.783,1600
944802132046925,717,684.589,1601
944802134338831,717,638.187,1602
944802136807938,718,924.671,1604
944802138987336,719,691.119,1605
944802141348112,719,627.975,1606
944802143820264,720,914.205,1608
944802146082695,721,682.025,1609
944802148357524,722,644.189,1610
944802150833573,722,909.615,1611
944802153032599,723,689.612,1613
944802155378023,723,638.355,1614
944802157804047,724,935.965,1615
944802160082221,725,665.21,1616
944802162378472,725,644.136,1616
944802164870624,726,909.779,1618
944802167120016,726,659.683,1619
944802169392712,727,672.462,1620
944802171827908,728,919.308,1621
944802174105482,728,654.973,1622
944802176412108,729,666.099,1623
944802178879814,729,917.006,1623
944802181113522,730,677.439,1624
944802183423183,730,647.153,1624
944802185883839,731,909.61,1625
944802188119149,731,682.799,1626
944802190427137,731,644.817,1626
944802192897908,732,911.335,1627
944802195152426,733,676.5,1628
944802197432964,733,645.602,1628
944802199912608,733,915.096,1629
944802202139135,733,671.419,1629
944802204445722,734,666.402,1630
944802206917854,734,898.214,1631
944802209123110,735,681.746,1632
944802211455023,735,648.641,1632
944802213923830,735,912.129,1633
944802216159111,736,674.43,1634
944802218468322,736,649.578,1634
944802220944790,736,910.901,1635
944802223171207,737,683.334,1636
944802225483653,737,646.618,1636
944802227953491,737,913.402,1636
944802230190955,737,665.88,1637
944802232486294,738,670.681,1637
944802234958517,738,898.794,1638
944802237188099,739,690.201,1638
944802239507455,739,642.99,1638
944802241983993,739,918.591,1639
944802244173886,739,671.584,1639
944802246520723,739,642.273,1639
944802248987486,740,910.385,1640
944802251257239,740,674.042,1640
944802253526579,740,654.572,1641
944802256019713,741,910.685,1641
944802258232921,741,671.588,1641
944802260539297,741,652.081,1642
944802263017147,741,908.275,1642
944802265253890,741,672.45,1643
944802267550220,742,665.568,1644
944802270030495,742,904.87,1644
944802272240438,742,683.166,1644
944802274555377,742,647.58,1644
944802277053017,742,911.167,1645
944802279246825,742,675.93,1645
944802281568905,743,650.821,1645
944802284049740,743,909.408,1645
944802286333002,743,650.48,1645
944802288587540,743,678.285,1646
944802290966074,743,941.826,1646
944802293259360,743,652.914,1646
944802295589172,744,654.164,1647
944802298080914,744,894.774,1647
944802300325697,744,675.76,1647
944802302603451,744,658.186,1648
944802305085668,744,909.975,1648
944802307256884,744,684.676,1648
944802309609849,744,648.364,1649
944802312099888,745,908.572,1649
944802314330351,745,670.598,1649
944802316622876,745,653.265,1649
944802319025176,745,945.902,1649
944802321232384,745,678.439,1649
944802323414605,745,694.074,1650
944802325649145,745,669.511,1650
944802328109049,745,912.562,1650
944802330339542,746,691.579,1650
944802332646639,745,633.408,1650
944802335129217,746,914.101,1650
944802337355184,746,687.898,1650
944802339665815,746,642.398,1650
944802342141394,746,911.061,1650
944802344373760,746,670.848,1650
944802346668508,746,659.852,1650
944802349165538,746,900.532,1651
944802351386466,746,675.337,1651
944802353679342,747,670.194,1651
944802356160778,746,895.482,1651
944802358383891,747,677.598,1651
944802360690588,746,643.089,1651
944802363172825,747,918.806,1652
944802365428746,747,684.848,1652
944802367702724,747,641.765,1651
944802370104642,747,937.014,1652
944802372407853,747,329.661,1652
944802374593320,747,694.549,1652
944802377362132,747,806.954,1652
944802379533989,747,690.694,1652
944802381878521,747,636.881,1653
944802384406708,747,1199.76,1653
944802386729157,747,644.465,1653
944802389201460,747,902.664,1653
944802391436830,748,690.248,1653
944802393731879,747,643.193,1653
944802396207998,748,913.699,1654
