device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944802552252446,381,202.297,1003
944802555490246,376,178.324,977
944802557695020,372,177.2,960
944802559976980,369,175.45,944
944802562369945,363,241.779,919
944802564584395,360,173.434,904
944802566759675,357,180.629,888
944802568990890,354,179.852,873
944802571380379,349,243.853,851
944802573592206,346,176.801,837
944802575768689,343,176.909,823
944802578019863,340,171.033,809
944802580394721,335,246.651,789
944802582613305,333,171.049,776
944802584778582,330,181.301,763
944802587030907,327,169.743,751
944802589411294,323,241.424,732
944802591626355,320,173.041,720
944802593788536,318,181.299,709
944802596043035,315,167.326,697
944802598435118,311,214.685,680
944802600651171,308,149.116,677
944802602821634,305,141.379,666
944802605074291,302,133.727,655
944802607438172,297,191.842,640
944802609671329,295,135.135,629
944802611848113,291,131.767,619
944802614095761,289,137.728,610
944802616452412,285,192.515,596
944802618684097,282,139.701,586
944802620855423,280,142.048,577
944802623105285,277,132.86,568
944802625479842,273,193.602,555
944802627694352,271,136.045,547
944802629865878,268,139.435,539
944802632113276,266,134.04,531
944802634491079,263,192.186,519
944802636695482,260,138.647,511
944802638874489,258,136.253,504
944802641130681,256,128.886,496
944802643503506,253,208.664,498
944802645718146,252,164.97,530
944802647895871,250,166.698,561
944802650146023,249,167.738,592
944802652519059,247,231.959,637
944802654726947,246,167.165,666
944802656894298,245,166.882,695
944802659160103,243,158.132,723
944802661536072,241,227.642,764
944802663790141,240,155.812,790
944802666162635,239,152.639,808
944802668546045,237,227.008,846
944802670781997,236,157.567,871
944802672954143,235,168.451,896
944802675174802,234,164.061,920
944802677560897,232,228.266,954
944802679761616,231,140.742,942
944802681927713,229,135.215,928
944802684187630,227,129.445,912
944802686572954,225,189.489,889
944802688778760,224,135.694,874
944802690944168,222,137.293,859
944802693201019,221,130.509,845
944802695581896,219,191.899,823
944802697788975,217,139.421,810
944802699948262,216,140.707,796
944802702205415,215,132.946,783
944802704602446,213,189.91,764
944802706817637,212,135.982,751
944802708996573,210,141.678,745
944802711225685,213,323.014,767
944802713928360,227,744.735,802
944802716229427,235,544.8,822
