device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944803809654341,378,226.13,1112
944803812269145,373,228.154,1083
944803814490344,369,174.822,1064
944803816886102,366,165.047,1045
944803819286939,361,245.123,1018
944803821504633,358,175.202,1000
944803823685132,354,177.531,983
944803825914354,351,178.558,966
944803828300348,347,246.776,941
944803830518433,344,178.661,925
944803832712081,341,176.885,909
944803834924337,338,178.648,894
944803837317463,334,253.066,871
944803839546464,331,174.862,857
944803841928112,328,161.792,842
944803844327516,324,248.138,821
944803846549337,322,181.728,807
944803848732449,319,183.71,794
944803850950493,317,179.506,781
944803853341846,314,251.162,761
944803855966925,311,142.079,749
944803858355373,306,189.44,731
944803860585907,303,145.809,726
944803862984871,300,125.036,714
944803865371786,296,196.221,697
944803867591484,293,138.056,685
944803870013652,290,127.23,674
944803872379897,286,189.581,658
944803874607386,283,136.701,648
944803876991277,281,129.279,638
944803879394086,277,193.045,623
944803881613472,275,139.317,613
944803883787903,272,138.996,603
944803886030053,270,132.088,594
944803888404161,266,188.825,580
944803890616166,264,137.603,571
944803892775193,262,143.183,562
944803895044484,259,129.875,554
944803897415746,256,186.309,541
944803899630697,254,137.22,533
944803901793850,252,138.164,525
944803904058214,250,140.752,524
944803906431469,248,228.76,571
944803908646619,247,165.761,602
944803910819637,245,164.391,632
944803913075468,244,162.093,661
944803915436966,242,233.877,704
944803917654731,241,168.477,732
944803919832476,240,166.943,759
944803922087015,239,165.213,786
944803924449885,237,238.286,825
944803926687689,236,161.361,842
944803928859094,235,169.008,867
944803931099712,234,162.046,892
944803933462393,233,231.558,928
944803935687308,231,162.255,951
944803937860365,231,172.499,974
944803940113622,229,148.392,972
944803942487869,227,193.776,951
944803944697431,226,137.658,934
944803946874546,224,140.897,918
944803949130638,223,130.363,903
944803951497403,220,188.906,880
944803953722298,219,132.446,865
944803955889176,218,139.042,850
944803958137536,216,135.793,836
944803960514948,214,192.205,815
944803962735136,213,133.747,802
944803964908344,212,138.546,788
944803967171986,211,132.119,775
944803969530340,209,199.084,762
944803971742787,213,365.169,780
944803973913221,226,799.586,796
944803976167209,233,534.166,809
944803978546563,246,843.375,830
944803980842003,255,590.287,845
944803983170382,264,613.201,859
944803985635143,277,882.396,881
944803987862722,286,646.087,895
944803990181737,295,625.528,909
